address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,phone,price_range,restaurant_name,review_score
Wadi Aldawasir Street, 6 Olaya Main Road,Riyadh,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Wadi Aldawasir Street, 6 Olaya Main Road, Riyadh 11635 Saudi Arabia",25,Closed Now:See all hours,25 of 47 Lebanese in Riyadh,966 11 461 2288, 60 -  132, Flamingo Restaurant,4.0 
Princ Sultan Bin Abdulaziz Rd, Riyadh Saudi Arabia,Riyadh,"  , Turkish", Turkish,"Princ Sultan Bin Abdulaziz Rd, Riyadh Saudi Arabia",9,+ Add hours,15 of 42 Turkish in Riyadh,966 9200 02815,, Mikado House,4.0 
5058 Prince Muhammad Ibn Abdulaziz Branch Rd, Near Dabab Crossing,Riyadh,", European", European,"5058 Prince Muhammad Ibn Abdulaziz Branch Rd, Near Dabab Crossing, Between Sabb Bank And Civil Defense Center, Riyadh 11243 Saudi Arabia",22,Closed Now:See all hours,35 of 57 European in Riyadh,966 11 293 2664, 10 -  42, Verdure Restaurant,3.5 
Tahlia Street, Riyadh Saudi Arabia,Riyadh,", Arabic", Arabic,"Tahlia Street, Riyadh Saudi Arabia",19,+ Add hours,9 of 58 Arabic in Riyadh,966 55 345 3888,, Alkofeia,4.0 
Prince Muhammad Bin Abdulaziz Rd, Riyadh 12222 Saudi Arabia,Riyadh,"  , Italian", Italian,"Prince Muhammad Bin Abdulaziz Rd, Riyadh 12222 Saudi Arabia",11,+ Add hours,41 of 97 Italian in Riyadh,966 55 620 4289,, Cioccolatitaliani,4.0 
King Abdullah Road, Riyadh Saudi Arabia,Riyadh,"  , Turkish", Turkish,"King Abdullah Road, Riyadh Saudi Arabia",7,+ Add hours,16 of 42 Turkish in Riyadh,966 11 201 8520,, Petek,4.5 
Al Howaishel Tower, Wadi Al Artawi Street,Riyadh,"  , Middle Eastern", Middle Eastern,"Al Howaishel Tower, Wadi Al Artawi Street,, Riyadh Saudi Arabia",7,+ Add hours,65 of 108 Middle Eastern in Riyadh,966 11 462 7799,, White Garden Cafe,4.5 
Al Olaya Street, Riyadh 12241 Saudi Arabia,Riyadh,"  , International", International,"Al Olaya Street, Riyadh 12241 Saudi Arabia",8,+ Add hours,28 of 79 International in Riyadh,966 11 447 9888, 20 -  160, Caramel Lobby Lounge,4.5 
king Abdul Aziz Road, Riyadh Saudi Arabia,Riyadh,"  , Canadian", Canadian,"king Abdul Aziz Road, Riyadh Saudi Arabia",22,Open Now:6:00 AM - 2:00 AM,2 of 2 Canadian in Riyadh,966 9200 07469,, Le Gourmet Burger,3.5 
King Abdullah Road, Riyadh Saudi Arabia,Riyadh,"  , Seafood", Seafood,"King Abdullah Road, Riyadh Saudi Arabia",20,Closed Now:See all hours,16 of 32 Seafood in Riyadh,966 3 844 1144,, Darin Restaurant,4.0 
Riyadh Street, Riyadh Saudi Arabia,Riyadh,"  , Arabic", Arabic,"Riyadh Street, Riyadh Saudi Arabia",9,+ Add hours,10 of 58 Arabic in Riyadh,, 20 -  70, Kanafandi,4.5 
7617 Khalid Ibn Al Walid Street Ghirnatah, Riyadh 13242 Saudi Arabia,Riyadh,"Indian, Pakistani, Afghani", Pakistani,"7617 Khalid Ibn Al Walid Street Ghirnatah, Riyadh 13242 Saudi Arabia",7,+ Add hours,37 of 69 Indian in Riyadh,966 11 293 2677,, Al Zalal Restaurant,4.5 
Al Mathar Ash Shamali, Riyadh 12334 Saudi Arabia,Riyadh,"Lebanese, Mediterranean, Arabic", Mediterranean,"Al Mathar Ash Shamali, Riyadh 12334 Saudi Arabia",8,+ Add hours,26 of 47 Lebanese in Riyadh,966 11 283 4799,, Ward,4.5 
7013 At Takhassusi Branch Al Ourouba Road, Riyadh 123413507 Saudi Arabia,Riyadh,", Italian, European", Italian,"7013 At Takhassusi Branch Al Ourouba Road, Riyadh 123413507 Saudi Arabia",18,+ Add hours,42 of 97 Italian in Riyadh,014867799,, Julia's Restaurant,4.0 
Khalid Ibn Yazid Ibn Muawiyah Al Olaya Al Olaya, Riyadh 66939 Saudi Arabia,Riyadh,", Mediterranean, European, Spanish", Mediterranean,"Khalid Ibn Yazid Ibn Muawiyah Al Olaya Al Olaya, Riyadh 66939 Saudi Arabia",28,Open Now:See all hours,58 of 95 Mediterranean in Riyadh,966 11 464 1977,, Palmeras,4.0 
Exit -2 near King Saud University, Riyadh 11481 Saudi Arabia,Riyadh,"  , American", American,"Exit -2 near King Saud University, Riyadh 11481 Saudi Arabia",13,+ Add hours,45 of 100 American in Riyadh,966 50 819 5239, 30 -  75, Mooyah Burgers Fries Shakes,4.0 
Olaya St, Riyadh Saudi Arabia,Riyadh,"  , Italian, Pizza", Italian,"Olaya St, Riyadh Saudi Arabia",59,Closed Now:See all hours,43 of 97 Italian in Riyadh,966 9200 19080,, The Pizza Company,3.5 
King Abdulaziz, Riyadh 13315 Saudi Arabia,Riyadh,"Chinese, Asian", Asian,"King Abdulaziz, Riyadh 13315 Saudi Arabia",15,+ Add hours,22 of 37 Chinese in Riyadh,966 50 961 4587,, Bistro Chino,4.0 
Othman bin Affan Street Waha DIstrict, Riyadh Saudi Arabia,Riyadh,"  , Japanese", Japanese,"Othman bin Affan Street Waha DIstrict, Riyadh Saudi Arabia",6,+ Add hours,18 of 27 Japanese in Riyadh,966 11 238 6286,, Bonzai Japanese Grill,4.5 
Al Sahmi Street Al Hada District, Riyadh 64819 Saudi Arabia,Riyadh,"  , International", International,"Al Sahmi Street Al Hada District, Riyadh 64819 Saudi Arabia",11,+ Add hours,29 of 79 International in Riyadh,966 11 281 7300,," Olea Cafe, Kitchen & Lounge",4.0 
King Abdu Aziz road Sahara Mall, Riyadh Saudi Arabia,Riyadh,", Italian, Fast Food, Vegetarian Friendly", Italian,"King Abdu Aziz road Sahara Mall, Riyadh Saudi Arabia",25,+ Add hours,44 of 97 Italian in Riyadh,966 11 452 0525,, Panino's restaurant,3.5 
2385 Olaya Street Riyadh, Kingdom of Saudi Arabia 12611 - 9242 Inside Aloft Riyadh Hotel,Riyadh,"  , American, International, Asian", American,"2385 Olaya Street Riyadh, Kingdom of Saudi Arabia 12611 - 9242 Inside Aloft Riyadh Hotel, Riyadh Saudi Arabia",14,Closed Now:See all hours,45 of 97 Italian in Riyadh,966 11 234 1111, 15 -  40, Dish,4.0 
____ ____ __ ______ - __ _______, Riyadh Saudi Arabia,Riyadh,"  , Turkish", Turkish,"____ ____ __ ______ - __ _______, Riyadh Saudi Arabia",47,Open Now:6:30 AM - 12:30 AM,17 of 42 Turkish in Riyadh,966 9200 01889,, مطعم الفخار,3.5 
Riyadh Prince Turki Ibn Abdulaziz Al Awwal Rd, Riyadh 13512 Saudi Arabia,Riyadh,"  , Italian", Italian,"Riyadh Prince Turki Ibn Abdulaziz Al Awwal Rd, Riyadh 13512 Saudi Arabia",7,+ Add hours,46 of 97 Italian in Riyadh,966 55 503 1026,, Le d'Or,4.5 
King Fahad Road Olaya Area, Riyadh Saudi Arabia,Riyadh,"  , International", International,"King Fahad Road Olaya Area, Riyadh Saudi Arabia",5,+ Add hours,31 of 79 International in Riyadh,966 11 465 6466, 100 -  150, The View Restaurant,5.0 
Al Takhassousi on the corner right after the intersection with King Abdullah Street going north, Riyadh Saudi Arabia,Riyadh,", Middle Eastern, Lebanese, Mediterranean", Middle Eastern,"Al Takhassousi on the corner right after the intersection with King Abdullah Street going north, Riyadh Saudi Arabia",24,+ Add hours,27 of 47 Lebanese in Riyadh,,, Manqosha,4.0 
King Abdullah Road Al Rahmaniya, Riyadh Saudi Arabia,Riyadh,"  , Fast Food, Middle Eastern, Persian", Fast Food,"King Abdullah Road Al Rahmaniya, Riyadh Saudi Arabia",28,+ Add hours,30 of 84 Fast Food in Riyadh,,, Shayah Iranian Restaurant,3.5 
Al-'Olayya District, Riyadh Saudi Arabia,Riyadh,"  , Italian", Italian,"Al-'Olayya District, Riyadh Saudi Arabia",13,+ Add hours,47 of 97 Italian in Riyadh,966 1 2935744,, La Villa,4.0 
King Fahd Road Ar Rahmaniyah, Riyadh 12341 Saudi Arabia,Riyadh,"  , Italian, Pizza", Italian,"King Fahd Road Ar Rahmaniyah, Riyadh 12341 Saudi Arabia",27,Closed Now:See all hours,48 of 97 Italian in Riyadh,966 11 419 8016,, Italian House,4.0 
Riyadh Saudi Arabia,,Riyadh,"  , Pakistani, Asian, Middle Eastern", Pakistani,Riyadh Saudi Arabia,26,+ Add hours,59 of 86 Asian in Riyadh,966(0)1 4646187 ,, La Sani,3.5 
Jaber Bin Abdullah Street Nojood Mall, Riyadh 12712 Saudi Arabia,Riyadh,"  , American", American,"Jaber Bin Abdullah Street Nojood Mall, Riyadh 12712 Saudi Arabia",4,Closed Now:See all hours,47 of 100 American in Riyadh,966 55 627 9170, 100 -  150, Buttermilk,5.0 
Mohamed 5 Street, Riyadh Saudi Arabia,Riyadh,"  , Mediterranean, Egyptian", Mediterranean,"Mohamed 5 Street, Riyadh Saudi Arabia",6,+ Add hours,60 of 95 Mediterranean in Riyadh,966 56 101 0766,, Qasr El Nil,4.5 
Olaya Road King Fahad Road, Riyadh Saudi Arabia,Riyadh,"Italian, Pizza", Pizza,"Olaya Road King Fahad Road, Riyadh Saudi Arabia",17,+ Add hours,49 of 97 Italian in Riyadh,,, Cento Per Cento,4.0 
Al Dabab Street, Riyadh Saudi Arabia,Riyadh,"  , French", French,"Al Dabab Street, Riyadh Saudi Arabia",13,Open Now:9:30 AM - 11:00 PM,22 of 38 French in Riyadh,966 11 465 0005,, Cakery Shop,4.0 
4100 Northern Ring Rd, Riyadh 13311 Saudi Arabia,Riyadh,"  , Italian, Pizza, Seafood", Italian,"4100 Northern Ring Rd, Riyadh 13311 Saudi Arabia",5,Closed today:See all hours,50 of 97 Italian in Riyadh,966 11 810 7811, 226 -  752, Margherita,4.5 
Badiaa , Al Ruwaishid Mall,Riyadh,"  , Pizza, Fast Food", Pizza,"Badiaa , Al Ruwaishid Mall, Ruwaq Mall, Riyadh Saudi Arabia",12,Closed Now:See all hours,27 of 76 Pizza in Riyadh,966 11 216 1218,, Pastalita,4.0 
Prince Mohamad Bin Abdul Aziz, Riyadh Saudi Arabia,Riyadh,"  , Vegetarian Friendly", Vegetarian Friendly,"Prince Mohamad Bin Abdul Aziz, Riyadh Saudi Arabia",34,+ Add hours,332 of 849 Restaurants in Riyadh,, 56 -  75, Waterlemon,3.5 
Takhasussi Street, Riyadh Saudi Arabia,Riyadh,"  , Mediterranean, Turkish, Middle Eastern", Mediterranean,"Takhasussi Street, Riyadh Saudi Arabia",17,+ Add hours,61 of 95 Mediterranean in Riyadh,4658856,, Farouj Al Carawan Restaurant,4.0 
Othman Bin Affan Road, Al Nakheel Mall,Riyadh,"  , International", International,"Othman Bin Affan Road, Al Nakheel Mall, Riyadh 11564 Saudi Arabia",8,+ Add hours,32 of 79 International in Riyadh,966 53 692 2229, 15 -  30, Rice Creamery,4.0 
6137 King Abdul Aziz Rd, Exit 5,Riyadh,"  , French, International, European", French,"6137 King Abdul Aziz Rd, Exit 5, Riyadh 13312 2851 Saudi Arabia",4,+ Add hours,23 of 38 French in Riyadh,966 11 415 1398, 15 -  90, PAUL Bakery & Restaurant,5.0 
Imam Saud Bin Abdulaziz Bin Mohammed Rd Ash Shuhada, Riyadh 13241 Saudi Arabia,Riyadh,"  , Chinese, Asian", Chinese,"Imam Saud Bin Abdulaziz Bin Mohammed Rd Ash Shuhada, Riyadh 13241 Saudi Arabia",39,Closed Now:See all hours,23 of 37 Chinese in Riyadh,966 11 520 3531,, PF Chang's,3.5 
Al Wazarat District Harra, Riyadh Saudi Arabia,Riyadh,"  , Pakistani, Indian, Asian", Pakistani,"Al Wazarat District Harra, Riyadh Saudi Arabia",43,+ Add hours,38 of 69 Indian in Riyadh,966 11 405 8159,, Lahori Khabay,3.5 
Prince Mohammed Bin Abdulaziz S Localizer Mall, Riyadh Saudi Arabia,Riyadh,"  , Italian", Italian,"Prince Mohammed Bin Abdulaziz S Localizer Mall, Riyadh Saudi Arabia",16,+ Add hours,51 of 97 Italian in Riyadh,,, Vapiano,4.0 
King Fahd Rd,,Riyadh,", Pizza", Pizza,"King Fahd Rd,, Riyadh 13515 Saudi Arabia",12,+ Add hours,28 of 76 Pizza in Riyadh,966 11 454 5123,, Fatera Hat,4.0 
2385 Olaya Street Aloft Riyadh Hotel, Riyadh Saudi Arabia,Riyadh,"  , Cafe, Fast Food, Contemporary", Cafe,"2385 Olaya Street Aloft Riyadh Hotel, Riyadh Saudi Arabia",9,+ Add hours,40 of 97 Cafe in Riyadh,966 11 234 1111, 12 -  80, Re:fuel snack bar,4.0 
Umar Bin Abdulaziz St, Riyadh Saudi Arabia,Riyadh,"  , Cafe", Cafe,"Umar Bin Abdulaziz St, Riyadh Saudi Arabia",15,Closed Now:See all hours,41 of 97 Cafe in Riyadh,966 11 478 8863,, Can Cafe,3.5 
Thalatheen Street, Riyadh Saudi Arabia,Riyadh,"  , Middle Eastern, Lebanese, Mediterranean", Middle Eastern,"Thalatheen Street, Riyadh Saudi Arabia",30,+ Add hours,28 of 47 Lebanese in Riyadh,,, Set Al Sham,3.5 
Prince Sultan Street, Beside Al Rifai,Riyadh,"  , International, Barbecue", International,"Prince Sultan Street, Beside Al Rifai, Riyadh Saudi Arabia",19,+ Add hours,34 of 79 International in Riyadh,966 11 462 3343, 56 -  75, BBQ Restaurant,3.5 
King Abdul Aziz Road, North Exit 6,Riyadh,"  , Seafood", Seafood,"King Abdul Aziz Road, North Exit 6, Riyadh Saudi Arabia",13,Closed Now:See all hours,19 of 32 Seafood in Riyadh,966 11 812 8219,, Salmon,4.0 
North squire ext 2, Riyadh Saudi Arabia,Riyadh,"  , American", American,"North squire ext 2, Riyadh Saudi Arabia",19,+ Add hours,50 of 100 American in Riyadh,,, Applebee's Riyadh ! Al Nakheel Distrect,3.5 
Northern Ring Branch Road, Riyadh Saudi Arabia,Riyadh,"  , Turkish", Turkish,"Northern Ring Branch Road, Riyadh Saudi Arabia",16,Open Now:8:00 AM - 1:00 AM,21 of 42 Turkish in Riyadh,966 11 230 2345,, Big Chefs,3.5 
Khaled bin Waleed Street Ghornatha district, Riyadh Saudi Arabia,Riyadh,"  , Italian, Cafe, International", Italian,"Khaled bin Waleed Street Ghornatha district, Riyadh Saudi Arabia",11,+ Add hours,52 of 97 Italian in Riyadh,966 11 248 6766,, Arena Cafe,4.0 
King Abdullah Rd Corner Khalid Bin Walid St, Riyadh Saudi Arabia,Riyadh,"  , Italian", Italian,"King Abdullah Rd Corner Khalid Bin Walid St, Riyadh Saudi Arabia",17,+ Add hours,53 of 97 Italian in Riyadh,966 55 844 2255,, Al Forno,4.0 
Riyadh Saudi Arabia,,Riyadh,", American, Steakhouse, Barbecue", American,Riyadh Saudi Arabia,6,+ Add hours,51 of 100 American in Riyadh,966 11 810 6938,, Charcoza Grill,4.5 
Mohammed Bin Abdul Aziz Road Ground Floor, G4,Riyadh,"  , Pizza, Italian", Pizza,"Mohammed Bin Abdul Aziz Road Ground Floor, G4, Al Tahlya, Al Mas Plaza, Riyadh Saudi Arabia",14,+ Add hours,54 of 97 Italian in Riyadh,,, California Pizza Kitchen,4.0 
King Fahad Road, Riyadh Saudi Arabia,Riyadh,"  , Cafe", Cafe,"King Fahad Road, Riyadh Saudi Arabia",4,+ Add hours,45 of 97 Cafe in Riyadh,966 11 465 6466, 50 -  100, Brewstars Cafe and Terrace,5.0 
4466 Kharis Branch Rd Ar Rawdah,,Riyadh,"  , Italian, Pizza", Italian,"4466 Kharis Branch Rd Ar Rawdah,, Riyadh 13211 Saudi Arabia",12,+ Add hours,56 of 97 Italian in Riyadh,,, Yellow Cab Pizza Co,3.5 
Saad Ibn Abi Waqas, An Nasim Al Gharbi Riyadh,Riyadh,"  , Chinese, Asian, Thai", Chinese,"Saad Ibn Abi Waqas, An Nasim Al Gharbi Riyadh, Riyadh 11322 Saudi Arabia",12,+ Add hours,24 of 37 Chinese in Riyadh,966 11 233 1140, 35 -  50, Indian Oven,4.0 
Hafsah Bint Omar Street.. Rodah Area 014451936, Riyadh Saudi Arabia,Riyadh,"  , Seafood", Seafood,"Hafsah Bint Omar Street.. Rodah Area 014451936, Riyadh Saudi Arabia",22,+ Add hours,20 of 32 Seafood in Riyadh,966 11 445 3764,, Myfish-Samakatee,4.0 
King Abdulaziz Road, Riyadh Saudi Arabia,Riyadh,"  , Turkish", Turkish,"King Abdulaziz Road, Riyadh Saudi Arabia",5,Closed Now:See all hours,22 of 42 Turkish in Riyadh,966 11 229 1844,, Noor Al Hanaa Restaurant,4.5 
Prince Muhammad Bin Abdulaziz Road Al Olaya, Narcissus Hotel & Residence,Riyadh,", Seafood", Seafood,"Prince Muhammad Bin Abdulaziz Road Al Olaya, Narcissus Hotel & Residence, Riyadh 12214 Saudi Arabia",6,+ Add hours,21 of 32 Seafood in Riyadh,966 11 294 6300,, The Cove Seafood Restaurant,4.5 
Prince Sultan Bin Abdulaziz street Cnr Of Prince Abdul Aziz Masjid, Riyadh 11564 Saudi Arabia,Riyadh,"  , Fast Food", Fast Food,"Prince Sultan Bin Abdulaziz street Cnr Of Prince Abdul Aziz Masjid, Riyadh 11564 Saudi Arabia",20,Closed Now:See all hours,34 of 84 Fast Food in Riyadh,966 11 462 9595,, BurgerFuel Talateen Riyadh,3.5 
7633 King Abdul Aziz Road, Riyadh 133122154 Saudi Arabia,Riyadh,"  , Italian, Pizza", Italian,"7633 King Abdul Aziz Road, Riyadh 133122154 Saudi Arabia",12,+ Add hours,57 of 97 Italian in Riyadh,966 11 455 1085, 50 -  250, il Fornaretto,4.0 
9002, Hamzah Ibn Abdul Muttalib,Riyadh,"Pizza, Fast Food", Fast Food,"9002, Hamzah Ibn Abdul Muttalib, Riyadh 12991 Saudi Arabia",7,+ Add hours,35 of 76 Pizza in Riyadh,,, Sbarro,4.5 
Khurais Road, Riyadh 14212 Saudi Arabia,Riyadh,"Italian, Chinese, American, Indian", Chinese,"Khurais Road, Riyadh 14212 Saudi Arabia",4,+ Add hours,58 of 97 Italian in Riyadh,966 54 212 9097,, Madami,5.0 
King Abdulaziz Road, Riyadh Saudi Arabia,Riyadh,", Middle Eastern", Middle Eastern,"King Abdulaziz Road, Riyadh Saudi Arabia",22,+ Add hours,73 of 108 Middle Eastern in Riyadh,966 58 370 0255,,  Shawarma,3.5 
King Abdulaziz Rd, Riyadh Saudi Arabia,Riyadh,"Cafe, International, Mediterranean, Middle Eastern", International,"King Abdulaziz Rd, Riyadh Saudi Arabia",8,+ Add hours,47 of 97 Cafe in Riyadh,966 11 229 8209,, Pan Breeza Lounge,4.0 
Unit 4_ An NakheImam Saud Ibn Abdul Aziz Road  mam Saud Ibn Abdul Aziz Road, Riyadh 12382 Saudi Arabia,Riyadh,"  , International", International,"Unit 4_ An NakheImam Saud Ibn Abdul Aziz Road  mam Saud Ibn Abdul Aziz Road, Riyadh 12382 Saudi Arabia",3,+ Add hours,38 of 79 International in Riyadh,966 11 813 1313, 65 -  236, Mosaique,5.0 
Takhassusi street, Al Mohammadiyyah The Zone,Riyadh,"  , American, Seafood, International", American,"Takhassusi street, Al Mohammadiyyah The Zone, Riyadh 12364 Saudi Arabia",9,+ Add hours,53 of 100 American in Riyadh,966 11 411 1124, 50 -  100, Catch,4.0 
3rd floor, Al Faysaleya mall,Riyadh,", Lebanese, Mediterranean", Lebanese,"3rd floor, Al Faysaleya mall, Riyadh Saudi Arabia",8,+ Add hours,29 of 47 Lebanese in Riyadh,966 11 441 1401,, Bourj Al Hamam Express,4.0 
Tahlia Street, Riyadh Saudi Arabia,Riyadh,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"Tahlia Street, Riyadh Saudi Arabia",26,+ Add hours,30 of 47 Lebanese in Riyadh,966 11 217 0555,, The Lebanese Corner,3.5 
Ar Rabi, Riyadh 13316 Saudi Arabia,Riyadh,"  , Seafood, Sushi", Seafood,"Ar Rabi, Riyadh 13316 Saudi Arabia",23,+ Add hours,23 of 32 Seafood in Riyadh,966 11 812 0869,, Ocean Basket,3.5 
Al Urubah Rd, Riyadh 12351 Saudi Arabia,Riyadh,", Asian, Indian, Halal", Asian,"Al Urubah Rd, Riyadh 12351 Saudi Arabia",15,Open Now:See all hours,40 of 69 Indian in Riyadh,966 53 273 2209,, Malaz Restaurant,3.5 
Althumamah Road, Riyadh 11372 Saudi Arabia,Riyadh,", Italian", Italian,"Althumamah Road, Riyadh 11372 Saudi Arabia",8,+ Add hours,59 of 97 Italian in Riyadh,966 53 383 5568, 20 -  35, Capri Cafe,4.0 
King Abdul Aziz Road,,Riyadh,"  , International, Sushi", International,"King Abdul Aziz Road,, Riyadh Saudi Arabia",9,+ Add hours,40 of 79 International in Riyadh,966 56 715 4530, 25 -  140, Cafune,4.0 
Al Imam Abdullah Ibn Saud lbn Abdul Aziz Road Sidra, Riyadh Saudi Arabia,Riyadh,"Pizza, Italian", Italian,"Al Imam Abdullah Ibn Saud lbn Abdul Aziz Road Sidra, Riyadh Saudi Arabia",7,+ Add hours,60 of 97 Italian in Riyadh,966 11 520 3521,, Blaze pizza,4.0 
Khalid Bin Yazid St., Riyadh Saudi Arabia,Riyadh,"  , International, Sushi, Middle Eastern", International,"Khalid Bin Yazid St., Riyadh Saudi Arabia",15,+ Add hours,41 of 79 International in Riyadh,966 9200 06628,, Al-Shurafa,3.5 
Centria shopping mall, Second floor,Riyadh,"Cafe, International, European, Middle Eastern", International,"Centria shopping mall, Second floor, Riyadh Saudi Arabia",8,Open Now:See all hours,48 of 97 Cafe in Riyadh,966 11 416 2990,, Art Cafe,4.5 
Al Imam Saud Bin Abdul aziz Branch Rd - King Fahad, Riyadh 12274 Saudi Arabia,Riyadh,"  , Indian, Moroccan, International", Indian,"Al Imam Saud Bin Abdul aziz Branch Rd - King Fahad, Riyadh 12274 Saudi Arabia",5,Closed Now:See all hours,41 of 69 Indian in Riyadh,966 11 470 5554, 8 -  226, Tanjiah Restaurant,4.5 
King Abdulaziz Road., Riyadh Saudi Arabia,Riyadh,"  , Indian, European, Arabic", Indian,"King Abdulaziz Road., Riyadh Saudi Arabia",4,+ Add hours,42 of 69 Indian in Riyadh,966 59 547 4444,, Tea Club,4.5 
Tahliya Street, Riyadh Saudi Arabia,Riyadh,", American, Cafe, Fusion", American,"Tahliya Street, Riyadh Saudi Arabia",9,Closed Now:See all hours,55 of 100 American in Riyadh,966 9200 02690,, Soho Club,4.0 
Al Thalatheen St, Riyadh Saudi Arabia,Riyadh,"  , Mediterranean", Mediterranean,"Al Thalatheen St, Riyadh Saudi Arabia",18,+ Add hours,67 of 95 Mediterranean in Riyadh,,, Abou Kamal,3.5 
Anas Ibn Malik Road,,Riyadh,"  , Asian, Pakistani, Barbecue", Asian,"Anas Ibn Malik Road,, Riyadh Saudi Arabia",19,Opens in 6 min:See all hours,27 of 30 Barbecue in Riyadh,966 56 222 2658,, Zouq Mughal Restaurant,3.5 
Riyadh Saudi Arabia,,Riyadh,"  , Turkish, Mediterranean", Turkish,Riyadh Saudi Arabia,18,Open Now:See all hours,68 of 95 Mediterranean in Riyadh,966 59 670 3114,, Emirgan Sutis,3.5 
Tahliya Street, Riyadh Saudi Arabia,Riyadh,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Tahliya Street, Riyadh Saudi Arabia",23,Open Now:9:00 AM - 12:00 PM,31 of 47 Lebanese in Riyadh,,, Cafe Blanc,3.5 
Khurais Road, Riyadh Saudi Arabia,Riyadh,"  , Indian, Vegetarian Friendly", Indian,"Khurais Road, Riyadh Saudi Arabia",30,+ Add hours,43 of 69 Indian in Riyadh,966 11 491 1203,, Indian Island Restaurant,3.5 
Olaya Talateen, Riyadh Saudi Arabia,Riyadh,"  , Italian", Italian,"Olaya Talateen, Riyadh Saudi Arabia",8,+ Add hours,61 of 97 Italian in Riyadh,,, Sicilia's Pizza Cuts,4.0 
Riyadh Saudi Arabia,,Riyadh,"Chinese, Indian, Seafood", Indian,Riyadh Saudi Arabia,8,+ Add hours,26 of 37 Chinese in Riyadh,966 55 145 0892,, Golden Salmon Restaurant,4.0 
Bar.B.Q Tonight Restaurant 2623 Dirab Branch Rd, Riyadh 14713 Dirab Service Road going towards Riyadh,Riyadh,"Pakistani, Afghani", Afghani,"Bar.B.Q Tonight Restaurant 2623 Dirab Branch Rd, Riyadh 14713 Dirab Service Road going towards Riyadh, Riyadh Saudi Arabia",3,+ Add hours,10 of 15 Pakistani in Riyadh,966 11 422 2655,, BBQ Tonight Riyadh,4.5 
Dabab Street, Riyadh 12221 Saudi Arabia,Riyadh,"  , Mexican, American", Mexican,"Dabab Street, Riyadh 12221 Saudi Arabia",15,+ Add hours,5 of 11 Mexican in Riyadh,966 54 070 4440,, Fajita Avenue,3.5 
Omar Bin AbdulAziz Alarbaeen st. almalaz, Riyadh Saudi Arabia,Riyadh,"  , Pizza", Pizza,"Omar Bin AbdulAziz Alarbaeen st. almalaz, Riyadh Saudi Arabia",12,+ Add hours,39 of 76 Pizza in Riyadh,,, Pizza Time,4.0 
2349 Makkah Al Mukarramah Branch Road, Riyadh 12621 Saudi Arabia,Riyadh,"  , American, Cafe, Fast Food", American,"2349 Makkah Al Mukarramah Branch Road, Riyadh 12621 Saudi Arabia",15,Open Now:See all hours,59 of 100 American in Riyadh,966 9200 07634,, Bagel Brothers - Sandwich Restaurant,4.0 
King Abdullah Road Ext. 10 King Adbul Aziz Road Ext. 5, Riyadh Saudi Arabia,Riyadh,"  , Italian", Italian,"King Abdullah Road Ext. 10 King Adbul Aziz Road Ext. 5, Riyadh Saudi Arabia",20,+ Add hours,63 of 97 Italian in Riyadh,966 11 812 7846,, Primi,3.5 
